Date,Flooding_Phase,Month,G.Size
14/04/2024,REC,April,2.8
14/04/2024,REC,April,3.2
14/04/2024,REC,April,3
07/05/2024,BF,May,3.5
07/05/2024,BF,May,3.9
07/05/2024,BF,May,3.6
07/05/2024,BF,May,3.3
07/05/2024,BF,May,3.6
07/05/2024,BF,May,3.5
07/05/2024,BF,May,4.2
07/05/2024,BF,May,3.5
07/05/2024,BF,May,3.4
07/05/2024,BF,May,4.2
07/05/2024,BF,May,3.5
07/05/2024,BF,May,3.2
07/05/2024,BF,May,3.9
07/05/2024,BF,May,3.9
07/05/2024,BF,May,3.8
07/05/2024,BF,May,3.7
07/05/2024,BF,May,2.9
07/05/2024,BF,May,2.4
07/05/2024,BF,May,3.6
07/05/2024,BF,May,2.6
07/05/2024,BF,May,3.1
07/05/2024,BF,May,2.9
07/05/2024,BF,May,3.1
07/05/2024,BF,May,2.9
07/05/2024,BF,May,4
07/05/2024,BF,May,4.1
07/05/2024,BF,May,3.7
07/05/2024,BF,May,3.6
07/05/2024,BF,May,3.3
07/05/2024,BF,May,3.6
07/05/2024,BF,May,3.6
07/05/2024,BF,May,3.2
07/05/2024,BF,May,3.5
07/05/2024,BF,May,3.1
07/05/2024,BF,May,3.9
07/05/2024,BF,May,3.2
07/05/2024,BF,May,3.5
07/05/2024,BF,May,3.2
07/05/2024,BF,May,3.5
07/05/2024,BF,May,3.5
07/05/2024,BF,May,3.9
07/05/2024,BF,May,3.6
07/05/2024,BF,May,4.5
07/05/2024,BF,May,3.2
07/05/2024,BF,May,3.3
07/05/2024,BF,May,2.7
07/05/2024,BF,May,3.5
07/05/2024,BF,May,3
07/05/2024,BF,May,3.1
07/05/2024,BF,May,2.6
07/05/2024,BF,May,2.5
07/05/2024,BF,May,2.3
07/05/2024,BF,May,3.6
07/05/2024,BF,May,3.3
07/05/2024,BF,May,2.9
07/05/2024,BF,May,3.6
07/05/2024,BF,May,3.6
07/05/2024,BF,May,2.5
07/05/2024,BF,May,2.5
07/05/2024,BF,May,3.6
07/05/2024,BF,May,2.9
07/05/2024,BF,May,3.7
07/05/2024,BF,May,2.6
07/05/2024,BF,May,2.9
07/05/2024,BF,May,4
07/05/2024,BF,May,3.8
07/05/2024,BF,May,4
07/05/2024,BF,May,3.5
07/05/2024,BF,May,4
07/05/2024,BF,May,2.6
07/05/2024,BF,May,3.5
07/05/2024,BF,May,3
07/05/2024,BF,May,2.8
07/05/2024,BF,May,3.7
07/05/2024,BF,May,2.9
07/05/2024,BF,May,3
07/05/2024,BF,May,4.6
07/05/2024,BF,May,3.7
07/05/2024,BF,May,2.9
07/05/2024,BF,May,2.3
09/05/2024,DF,May,2.6
09/05/2024,DF,May,3.1
09/05/2024,DF,May,2.8
09/05/2024,DF,May,3.8
09/05/2024,DF,May,3.7
09/05/2024,DF,May,3.7
09/05/2024,DF,May,3.9
09/05/2024,DF,May,3.8
09/05/2024,DF,May,3.3
09/05/2024,DF,May,3.2
09/05/2024,DF,May,3.2
09/05/2024,DF,May,3.2
09/05/2024,DF,May,3.1
09/05/2024,DF,May,2.7
09/05/2024,DF,May,3.3
09/05/2024,DF,May,3.9
09/05/2024,DF,May,3.9
09/05/2024,DF,May,3.3
09/05/2024,DF,May,3.2
09/05/2024,DF,May,2.7
09/05/2024,DF,May,3
12/05/2024,REC,May,3.6
24/07/2024,DF,July,1.9
25/07/2024,AF,July,2.4
25/07/2024,AF,July,2.1
25/07/2024,AF,July,2.3
25/07/2024,AF,July,2.5
25/07/2024,AF,July,2.9
25/07/2024,AF,July,2
25/07/2024,AF,July,3.4
25/07/2024,AF,July,2.8
25/07/2024,AF,July,2
25/07/2024,AF,July,2.3
25/07/2024,AF,July,2.6
25/07/2024,AF,July,1.9
25/07/2024,AF,July,3.4
25/07/2024,AF,July,2.5
25/07/2024,AF,July,2
25/07/2024,AF,July,3.4
25/07/2024,AF,July,1.9
25/07/2024,AF,July,2.6
25/07/2024,AF,July,2.2
25/07/2024,AF,July,1.7
25/07/2024,AF,July,1.7
27/07/2024,REC,July,2.3
27/07/2024,REC,July,2.2
27/07/2024,REC,July,2.3
27/07/2024,REC,July,2.2
27/07/2024,REC,July,1.7
27/07/2024,REC,July,2.1
27/07/2024,REC,July,1.9
27/07/2024,REC,July,2.4
27/07/2024,REC,July,1.7
27/07/2024,REC,July,2.4
27/07/2024,REC,July,1.9
27/07/2024,REC,July,2.5
27/07/2024,REC,July,2.5
27/07/2024,REC,July,1.9
27/07/2024,REC,July,2.3
27/07/2024,REC,July,3.5
27/07/2024,REC,July,3
27/07/2024,REC,July,3
27/07/2024,REC,July,2.8
27/07/2024,REC,July,2.5
27/07/2024,REC,July,2.3
27/07/2024,REC,July,2.3
27/07/2024,REC,July,2.2
27/07/2024,REC,July,2.2
27/07/2024,REC,July,2.2
27/07/2024,REC,July,2.1
27/07/2024,REC,July,2.2
27/07/2024,REC,July,2.5
27/07/2024,REC,July,2.4
27/07/2024,REC,July,2.2
27/07/2024,REC,July,2
23/08/2024,DF,August,2.2
23/08/2024,DF,August,2.6
23/08/2024,DF,August,2.4
23/08/2024,DF,August,2.1
23/08/2024,DF,August,1
23/08/2024,DF,August,4
23/08/2024,DF,August,2.7
23/08/2024,DF,August,4.2
23/08/2024,DF,August,3.5
23/08/2024,DF,August,2.5
23/08/2024,DF,August,2.5
23/08/2024,DF,August,3.3
23/08/2024,DF,August,3.1
23/08/2024,DF,August,3.5
23/08/2024,DF,August,2.9
23/08/2024,DF,August,3.4
23/08/2024,DF,August,3
23/08/2024,DF,August,3
23/08/2024,DF,August,2.9
23/08/2024,DF,August,2.8
23/08/2024,DF,August,2.5
23/08/2024,DF,August,2.7
23/08/2024,DF,August,2.6
23/08/2024,DF,August,2.1
23/08/2024,DF,August,2.4
23/08/2024,DF,August,3.2
23/08/2024,DF,August,2.6
23/08/2024,DF,August,2.6
23/08/2024,DF,August,2.5
23/08/2024,DF,August,2.5
23/08/2024,DF,August,4
23/08/2024,DF,August,3.5
23/08/2024,DF,August,3.9
23/08/2024,DF,August,3.3
23/08/2024,DF,August,2.8
23/08/2024,DF,August,2.9
23/08/2024,DF,August,2.6
23/08/2024,DF,August,2.5
23/08/2024,DF,August,2.6
23/08/2024,DF,August,2.8
23/08/2024,DF,August,2.5
23/08/2024,DF,August,2.6
23/08/2024,DF,August,2.9
23/08/2024,DF,August,2.6
23/08/2024,DF,August,1.5
23/08/2024,DF,August,2.4
23/08/2024,DF,August,2.5
23/08/2024,DF,August,2.6
23/08/2024,DF,August,3.6
23/08/2024,DF,August,2.1
23/08/2024,DF,August,3.1
23/08/2024,DF,August,3.3
23/08/2024,DF,August,2.4
23/08/2024,DF,August,2.3
23/08/2024,DF,August,2.3
23/08/2024,DF,August,2.5
23/08/2024,DF,August,2.2
23/08/2024,DF,August,2.5
23/08/2024,DF,August,3.3
23/08/2024,DF,August,2.4
23/08/2024,DF,August,3
23/08/2024,DF,August,2.2
23/08/2024,DF,August,3
23/08/2024,DF,August,2.4
23/08/2024,DF,August,3.1
23/08/2024,DF,August,2.2
23/08/2024,DF,August,3.6
23/08/2024,DF,August,2.4
23/08/2024,DF,August,3.5
23/08/2024,DF,August,2.6
23/08/2024,DF,August,3.5
23/08/2024,DF,August,2.8
23/08/2024,DF,August,2.7
23/08/2024,DF,August,2.4
23/08/2024,DF,August,2.2
23/08/2024,DF,August,2.3
23/08/2024,DF,August,2.2
23/08/2024,DF,August,2.6
23/08/2024,DF,August,2.9
23/08/2024,DF,August,2.7
23/08/2024,DF,August,2.5
23/09/2024,DF,September,2.5
23/09/2024,DF,September,1.9
23/09/2024,DF,September,2.2
23/09/2024,DF,September,2.9
23/09/2024,DF,September,2.6
23/09/2024,DF,September,2.4
23/09/2024,DF,September,2.3
23/09/2024,DF,September,2.2
23/09/2024,DF,September,2
23/09/2024,DF,September,2
23/09/2024,DF,September,1.9
23/09/2024,DF,September,3.3
23/09/2024,DF,September,2.2
23/09/2024,DF,September,2.6
23/09/2024,DF,September,2.3
23/09/2024,DF,September,3.5
23/09/2024,DF,September,2.4
23/09/2024,DF,September,2
23/09/2024,DF,September,1.9
23/09/2024,DF,September,2.4
23/09/2024,DF,September,2.2
23/09/2024,DF,September,1.9
23/09/2024,DF,September,2.8
23/09/2024,DF,September,2.3
23/09/2024,DF,September,1.8
23/09/2024,DF,September,2
23/09/2024,DF,September,1.9
23/09/2024,DF,September,2.1
23/09/2024,DF,September,2.3
23/09/2024,DF,September,1.6
23/09/2024,DF,September,2.6
23/09/2024,DF,September,4
23/09/2024,DF,September,3.9
23/09/2024,DF,September,3.8
23/09/2024,DF,September,3.5
23/09/2024,DF,September,3.4
23/09/2024,DF,September,2.5
23/09/2024,DF,September,2.6
23/09/2024,DF,September,2.3
23/09/2024,DF,September,2.2
23/09/2024,DF,September,2.5
23/09/2024,DF,September,2.2
23/09/2024,DF,September,2.2
23/09/2024,DF,September,2.2
23/09/2024,DF,September,2.6
23/09/2024,DF,September,2.5
23/09/2024,DF,September,2.2
23/09/2024,DF,September,2.1
23/09/2024,DF,September,2.3
23/09/2024,DF,September,1.6
23/09/2024,DF,September,2.2
23/09/2024,DF,September,2.1
23/09/2024,DF,September,2.8
23/09/2024,DF,September,2.1
23/09/2024,DF,September,3.2
23/09/2024,DF,September,1.9
23/09/2024,DF,September,2.1
23/09/2024,DF,September,2.3
23/09/2024,DF,September,1.9
23/09/2024,DF,September,2.2
23/09/2024,DF,September,2
23/09/2024,DF,September,2.2
23/09/2024,DF,September,2.5
23/09/2024,DF,September,2.2
23/09/2024,DF,September,2.7
23/09/2024,DF,September,2.1
23/09/2024,DF,September,2.1
23/09/2024,DF,September,2.6
23/09/2024,DF,September,2
23/09/2024,DF,September,1.7
23/09/2024,DF,September,1.9
23/09/2024,DF,September,2.4
23/09/2024,DF,September,2.3
23/09/2024,DF,September,1.9
23/09/2024,DF,September,2.1
23/09/2024,DF,September,2.1
23/09/2024,DF,September,1.8
23/09/2024,DF,September,2
23/09/2024,DF,September,3.8
